veracity,Claim_by,Claim
FALSE,Claim via Social Media, “Plankton in the Atlantic Ocean is 90% gone.”
BLATANT LIE,Claim by thegatewaypundit.com, Dominion Voting Machines FAIL Testing for Colorado Secretary of State Recount
BLATANT LIE,Claim via Social Media," Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”"
BLATANT LIE,Claim via Social Media, Joe Biden’s Body Double or Deepfake Used in Video Address.
FALSE,Claim by National Republican Congressional Committee, “Abigail Spanberger is raking in thousands from defund the police groups because she supports defunding the police.”
FALSE,(International, You can’t extinguish an electric vehicle (EV) fire as water makes their batteries burn.
FALSE,Claim by Joe Kent (R), Jaime Herrera Beutler’s “plan for Social Security” is a “25% cut in benefits and complete insolvency in 10 years.”
BLATANT LIE,Claim via Social Media, Moderna CEO Has Stepped Down.
FALSE,Claim via Social Media, A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”
BLATANT LIE,Claim by Children’s Health Defense," “‘#Monkypox has never spread like this before’. – Dr. Meryl Nass, former biological warfare epidemiologist discussing the possibility of the virus being a bioweapon…”"
BLATANT LIE,Claim by Gateway Pundit," In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger"
FALSE,(International," Purportedly shows an article published by TheJournal.ie with a headline that reads, “Monkeypox can live on door handles and toilet seats for 120 years and can infect anyone from 5 miles away.”"
FALSE,Claim via Social Media, “Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”
BLATANT LIE,Claim by Viral Image," purportedly shows an article from The New York Times with a headline that reads, “Joe Biden’s death would be a tragedy. But it might help Democrats win midterms.”"
FALSE,Claim by American Commitment, Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”
BLATANT LIE,Claim by Peter McCullough," Covid-19 vaccines have been recalled for causing more than 40,000 deaths"
BLATANT LIE,Claim via Social Media, Donald Trump and Vladimir Putin met in DC on July 26.
FALSE,(International," “U.S. troops should leave this area. This is the first point. And they should stop looting the Syrian state, the Syrian people, taking their oil illegally.”"
FALSE,Claim via Social Media, Dr. Birx “changes tune on” COVID-19 vaccines and “admits vaccines don’t work.”
BLATANT LIE,Claim by Post," claims President Joe Biden signed the ‘Drag Queen Initiative,’ which makes publicly criticizing pedophiles a federal offense"
NO EVIDENCE,Claim by Jimmy Dore, The current monkeypox outbreak is a result of a lab leak from the Wuhan Institute of Virology.
BLATANT LIE,"Claim by Social media users, Diamond and Silk"," No one was arrested inside the Capitol building on Jan. 6, 2021"
BLATANT LIE,Claim via Social Media," Jim Jordan told Alexandria Ocasio-Cortez, “You’re just dumb.”"
FALSE,(International, Three doctors in Canada died after receiving a fourth COVID shot.
FALSE,Claim by Donald Trump (R)," In Wisconsin nursing homes, there were “thousands and thousands and thousands of crooked votes” in the 2020 election."
BLATANT LIE,Claim by Video, claims the U.S. Supreme Court signed a verdict to impeach House Speaker Nancy Pelosi.
TRUE,Claim via Social Media, Kamala Harris announced her pronouns and outfit in a meeting.
BLATANT LIE,Claim via Social Media, Ray Epps Wife Robyn Works For Company That Owns Dominion Voting Systems.
BLATANT LIE,Claim by Tucker Carlson, Lancet study showed that vaccinated people have lower immune function than unvaccinated people; COVID-19 vaccines suppress the immune system
FALSE,(International, Public health authorities are attempting to cover up Covid-19 vaccine-induced shingles by calling it monkeypox.
MOSTLY TRUE,Claim by Tim Ryan (D)," Instead of fighting opioid addiction, a nonprofit founded by J.D. Vance paid his “top political adviser” and funded “political polling.”"
BLATANT LIE,Claim via Social Media, Delta Pilots In Video Were Protesting COVID-19 Vax.
FALSE,Claim by Marco Rubio (R), Val Demings “called abolishing the police ‘thoughtful.'”
FALSE,Claim via Social Media, A Harvard study found wind turbines create more global warming than the fossil fuel power they replace.
BLATANT LIE,Claim by Children’s Health Defense, Tetanus vaccines contain a secret infertility ingredient.
FALSE,(International," Photo shows litter left after climate march in Rotterdam, Netherlands"
TRUE,Claim by Francesca Hong (D)," “In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.”"
BLATANT LIE,Claim by newspunch.com, Michelle Obama registered To Vote As A Man according To Illinois State Board of Elections.
FALSE,Claim via Social Media," President Joe Biden announced he has cancer during a speech on climate change,"
BLATANT LIE,Claim by vancouvertimes.org, WHO director arrested for crimes against humanity.
BLATANT LIE,Claim via Social Media, Rep. Alexandria Ocasio-Cortez was “pretending to be arrested” by Capitol Police at an abortion-rights protest.
FALSE,(International, “5.5 million of Kenyans are unemployed.”
MOSTLY FALSE,Claim by Qasim Rashid, “North Carolina GOP is re-introducing a bill that says life begins at conception and anyone who destroys that fertilized egg is guilty of first-degree murder.”
BLATANT LIE,Claim by Tucker Carlson/Social Media, COVID vaccines suppress the human immune system.
FALSE,Claim via Social Media, “Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19.
BLATANT LIE,Claim by Liz Wheeler, monkeypox’s survival rate is 99.97 percent.
BLATANT LIE,Claim via Social Media, An image shows Rep. Marjorie Taylor Greene in front of a cross with a figurine of former President Donald Trump on it.
FALSE,(International, “The [U.S. import ban] has been taken without evidence being provided.”
FALSE,Claim by Herschel Walker (R)," Democrats, including President Joe Biden, “stopped domestic drilling” for oil, driving gasoline prices higher."
BLATANT LIE,Claim by patriotpartypress.com, Megan Rapinoe Booted From US Team For Assaulting a Teammate.
FALSE,Claim by Zach Nunn (R)," “My opponent, Cindy Axne, has actively sought to defund the police.”"
BLATANT LIE,Claim via Social Media, Global Recall Of COVID-19 Vaccines.
BLATANT LIE,Claim by Donald Trump (R), Ranked choice voting in Alaska is a “total rigged deal.”
FALSE,(International, Taxes on commodities are lower under Prime Minister Narendra Modi’s leadership.
BLATANT LIE,Claim via Social Media," “Antifa was already inside the Capitol with floor plans dressed as Trump supporters” on Jan. 6, 2021, proving the attack “was 100% a setup.”"
FALSE,Claim by Charlie Kirk, Canadian data shows vaccinated people more likely to die from COVID-19; COVID-19 vaccines alter our DNA; hydroxychloroquine and ivermectin cure COVID-19
MOSTLY FALSE,Claim by Dave La Rock (R), “Virginia now has the most liberal abortion laws in the world.”
MOSTLY FALSE,Claim by Joe Biden (D)," “This will not only lower the cost of prescription drugs and health care for families, it will reduce the deficit and help fight inflation.”"
TRUE,Was it said, Did Donald Trump Jr. make Reference The Godfather in His Texts to Mark Meadows
FALSE,(International, Data from the Office for National Statistics shows the vaccinated population were suffering immense immune system damage in April and May 2022.
FALSE,Claim via Social Media," “If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.”"
BLATANT LIE,Claim by Arizona GOP Chairwoman Kelli Ward (R), why is this window in the envelope needed when ballots are mailed out?”
MOSTLY FALSE,Claim by Charlie Christ (D)," Ron DeSantis “opposes any background checks on guns, even for violent criminals.”"
BLATANT LIE,Claim via Social Media," After U.S. President Joe Biden was diagnosed with COVID-19 in July 2022, former President Donald Trump released a statement wishing Biden a speedy recovery because “no one wants Kamala [Harris]” as president."
BLATANT LIE,Claim via Social Media, Benadryl can be used to reduce swelling from rattlesnake bites.
FALSE,(International, Ukrainian President Volodymyr Zelensky has a monthly income of $11 million.
MOSTLY FALSE,Claim by Mehmet Oz (R), “John Fetterman wants to release one-third of dangerous criminals back into our communities.”
BLATANT LIE,Claim via Viral Video, A social media video shows Mexican drug cartel members “ready to invade America.”
MOSTLY FALSE,Claim by Beto O’Rourke (D)," “38,000 Texans had their license to carry denied, revoked, or suspended over the last five years because law enforcement deemed them too dangerous to carry a loaded gun in public. But thanks to Greg Abbott’s new law, they don’t need a license to carry anymore.”"
FALSE,Claim via Social Media," Langlade, Maricopa counties and Texas unanimously rejected results of 2020 election."
BLATANT LIE,Claim via Social Media, “Third grade reading scores in the USA help correctional institutions predict how many beds they’ll need in the future.”
FALSE,(International," “According to local authorities, no military funerals and burials of foreign soldiers have been registered in this settlement.”"
MOSTLY FALSE,Claim by Tim Michels (R)," The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”"
FALSE,Claim via Social Media, Planned Parenthood clinics are shutting down all over the country.
FALSE,Claim via Social Media, Video shows Biden giving the “same exact speech” months apart.
FALSE,Claim by Viral Rumor," Claims Donald Trump is not providing refunds for tickets to his postponed rally in Greensboro, North Carolina."
